fragment_id,response_no,response
DP01_1,1,The death penalty is impermissible because we should not violate the sanctity of life which is what the death penalty does.
DP01_1,2,"The sanctity of life could not be violated ever. The death penalty does violate it, so we should get rid of the death penalty."
DP01_1,3,The death penalty should be abolished because it violates the sanctity of life.
DP01_1,4,The death penalty violates the sanctity of life.
DP01_1,5,The death penalty is inadmissible as it violates the sanctity of life.
DP01_1,6,"The concept of the death penalty does not adhere to the precept that we should not violate the sanctity of life. Therefore, the death penalty as a rule is not tolerable."
DP01_1,7,"People should adhere to principle of the sanctity of life. The death penalty should be prohibited, because it does not concur with this principle."
DP01_1,8,The death penalty violates the sanctity of life and should be banned.
DP01_1,9,The death penalty is not acceptable because by putting someone to death we violate the sanctity of life.
DP01_1,10,"We should not violate the sanctity of life. However, the death penalty does so. Therefore, we should not allow the death penalty."
DP01_1,11,"The death penalty doesn't work, because it violates the sanctity life"
DP01_1,12,We don't need the death penalty because it violates the sanctity of life
DP01_1,13,"Since the death penalty takes life, and life in and of itself is sacred, the death penalty is wrong."
DP01_1,14,We should not accept the death penalty because it violates the sanctity of life.
DP01_2,1,The death penalty is tolerable because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,2,We should keep the death penalty as people who commit serious crimes deserve to suffer a horrible punishment.
DP01_2,3,The death penalty is important because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,4,The death penalty is admissible for those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,5,"The death penalty adheres to the precept that those who commit a serious crime morally deserve to suffer a proportionate punishment. Therefore, the death penalty as a punishment is tolerable to our society."
DP01_2,6,The death penalty is a fair and reasonable punishment for those who commit serious crimes.
DP01_2,7,The death penalty is permissible for those who commit substantial crimes and desrve severe punishment.
DP01_2,8,The death penalty is a solution for those who commits serious crimes
DP01_2,9,"The death penalty won't do, because serious crimes deserve appropriate punishment."
DP01_2,10,"We should use the death penalty, because those who commit serious crimes morally deserve to suffer a proportionate punishment."
DP01_2,11,We should have a death penalty because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,12,"Serious crimes deserve a serious punishment, for the worst crimes the death penalty is allowable."
DP01_2,13,The death penalty is acceptable  to those who commit serious crimes.
DP01_2,14,We should accept the death penalty because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_3,1,The idea that those who commit serious crimes morally deserve to suffer a proportionate punishment is not tolerable because the idea that these people deserve to suffer a proportionate punishment is barbaric.
DP01_3,2,It is barbaric to believe that people who commit serious crimes deserve to suffer proportionate punishment. It is immoral.
DP01_3,3,The idea that those who commit serious crimes morally deserve to suffer a proportionate punishment is barbaric.
DP01_3,4,Punishment being proportionate to the crime is barbaric.
DP01_3,5,Some claim that those who commit serious crimes morally deserve to suffer a proportionate punishment which is barbaric as the idea is inadmissible.
DP01_3,6,"Although theorists propose that those that commit serious crimes morally deserve to suffer a proportionate punishment, the concept is barbaric.  Therefore, the proposition that those who commit serious crimes morally deserve to suffer a proportionate punishment is not at all tolerable."
DP01_3,7,The idea that those who commit serious crimes morally deserve to suffer a proportionate punishment is barbaric and unacceptable.
DP01_3,8,The argument that serious criminals to suffer proportionately for their crimes is barbaric and puts society at the same level of moral failing as the serious criminal.
DP01_3,9,It's not fair to say that a person who commits a serious crime deserves to suffer because that sort of thinking is barbaric.
DP01_3,10,People do not deserve proportionate punishments for their crimes.
DP01_3,11,Those who commit more serious crimes don't deserve to suffer more because the idea is barbaric.
DP01_3,12,It is barbaric that those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_3,13,It's barbaric to say that those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_3,14,"It is barbaric to think that those who commit serious crimes morally deserve to suffer a proportionate punishment, so that ideas is not acceptable."
DP01_3,15,It is barbaric to think that those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_3,16,People that commit serious crimes do not morally deserve to suffer a proportionate punishment because the idea is barbaric.
DP01_3,17,"Since the thought that equal crime equates to an equal punishment is inheritently wrong and backwards thinking, the thought that those who commit crimes need the same level of response to the crime is not the right course of action."
DP01_3,18,The idea that those who commit serious crimes morally deserve to suffer a proportionate punishment is barbaric.
DP01_4,1,Immanuel Kant is a well known and credible philosopher who said that society that won't demand a life for a life is an immoral one.
DP01_4,2,Immanuel Kant is a credible source who said a society that is not willing to demand a life of somebody who has taken somebody else’s life is simply immoral.
DP01_4,3,"As Immanuel Kant stated, a society that is not willing to demand a life of somebody who has taken somebody else's life is simply immoral."
DP01_4,4,Immanuel Kant claiming that a society unwilling to demand a life of somebody who has taken somebody else's life is simply immoral is actually valid.
DP01_4,5,"The logic of Immanuel Kant, which has been given credence by many renowned thinkers, states that a society that is not willing to demand a life of somebody who has taken a life is simply immoral.  The conclusion, therefore, must be that such a society that is unwilling to demand a life of somebody who has taken somebody else's life is indeed simply immoral."
DP01_4,6,One person supporting the death penalty said “Immanuel Kant said it best. He said a society that is not willing to demand a life of somebody who has taken somebody else's life is simply immoral.”He means that if you don't kill the people who kill people your society will people immoral.
DP01_4,7,Immanuel Kant is credible. Only to show that Immanuel Kant asserted that a society that is not willing to demand a life of somebody who has taken somebody else's life is simply immoral. Societies that will not demand life for a life just shows us how immoral they are and can be.
DP01_4,8,"Based on the teachings of immanuel kant, there is a moral imperative for a society to take the life of someone who has taken someone else's life."
DP01_4,9,Kant bolsters the argument that a society is immoral if it doesn't serve equal justice to murder.
DP01_4,10,A society that is not willing to demand a life  for a life taken is a society that is leading by example.
DP01_4,11,Society deems that if you take a life you should give your life so the death penalty is good.
DP01_4,12,Immanuel Kant said a society that  is not willing to demand a life of somebody who has taken somebody else's life  is immoral; he is right.
DP01_4,13,A society that is not willing to demand a life of somebody who has taken somebody else’s life is simply immoral because Immanuel Kant said this and he is credible.
DP01_4,14,"Immanuel Kant, one of the centeral figures of the Enlightenment movement, argued that a society that was unwilling to take someone's life who has taken a life was immoral."
DP01_4,15,We should support laws that demands a life of somebody who has taken somebody ele's life because one that doesn't is simply immoral.
DP01_5,1,The dealth penalty should be enforced everywhere because not having the death penalty is immoral.
DP01_5,2,The death penalty is allowable because it is in line with the idea that a society is not willing to demand a life of somebody who has taken somebody else’s life is simply immoral.
DP01_5,3,The death penalty should be upheld because a society that is not willing to demand a life of somebody who has taken somebody else's life is simply immoral.
DP01_5,4,The death penalty is allowable because a society unwilling to demand life of somebody who has taken somebody else's life is simply immoral.
DP01_5,5,"The idea of the death penalty for a moral society is a good one, because a society that is unwilling to demand a life of somebody who has taken another's life is itself immoral.  By such standards, the death penalty is moral and good."
DP01_5,6,The death penalty is deemed acceptable in societies where it has been determined that it is immoral to take someone else's life.
DP01_5,7,The death penalty is okay because it involves punishing a person in the same way they harmed someone else: taking their life.
DP01_5,8,The death penalty is an acceptable form of punishment because a society that is not willing to demand the life of someone who has taken somebody else's life is simply immoral.
DP01_5,9,The death peanlty should be illegal because a society that is not willing to demand a life from someone who has killed somebody else is simply immoral.
DP01_5,10,"Its immoral  to not demand a life someone who took another's, by that logic we need the death penalty."
DP01_5,11,"We should have a death penalty, because a society that is not willing to demand a life of somebody who has taken somebody else's life is simply immoral."
DP01_5,12,We should have the death penalty because a society that is not willing to demand a life of somebody who has taken somebody else’s life is simply immoral.
DP01_5,13,"The death penalty is needed because a society that does not take the life of someone who takes another life is, as a whole, immoral."
DP01_5,14,We should accept the death penalty because a society that is not willing to demand a life of somebody who has taken somebody else's life is simply immoral.
DP01_6,1,We need teh death penalty to provide moral healing to criminals before their death.
DP01_6,2,The death penalty has the desirable effect of promoting moral healing for criminals before their death and is thuse necessary.
DP01_6,3,The death penalty is useful because it promotes moral healing for criminals before their deaths.
DP01_6,4,The death penalty is mandatory as it facilitates moral healing for criminals before their death which is a prudent act.
DP01_6,5,The death penalty provides the benefit of promoting moral healing for criminals before their death. Therefore the death penalty is a necessity.
DP01_6,6,"If problems arise in particular cases, they should be corrected—and often are. That said, the death penalty serves three legitimate penological objectives: general deterrence, specific deterrence, and retribution"
DP01_6,7,The death penalty allows criminals to get moral healing before their death.
DP01_6,8,The death penalty is important because it allows a chance for moral healing on the part of criminals.
DP01_6,9,We should use the death penalty because it promotes moral healing for criminals.
DP01_6,10,"We should allow the death penalty, because it promotes moral healing for criminals before their death."
DP01_6,11,Moral healing is achieved before death penalty is performed and should be used.
DP01_6,12,"It is a good thing to promote moral healing for criminals before their death. Therefore, we should keep the death penalty because it is promotes moral healing for criminals before their death."
DP01_6,13,Providing the death penalty promotes moral healing for criminals before their death.
DP01_6,14,"We need the death penalty, because it promotes moral healing for criminals before death."
DP01_6,15,"We need the death penalty, because it promotes moral healing for criminals before their death."
DP01_6,16,We need the death penalty because it promotes moral healing for criminals before their death.
DP01_6,17,"The death penalty allows for the criminals to repent and heal before their deaths, they deserve that chance and as such the death penalty is needed."
DP01_6,18,The death penalty is necessary because it promotes moral healing for criminals before their deaths.
DP02_1,1,"The death penalty is inappropriate because it violates principle established in the Fifth Amendment of the United States Constitution that no one shall be deprived of life, liberty or property without due process of law."
DP02_1,2,"The death penalty is allowable as it the Fifth Amendment to the United States Constitution states no one shall be deprived of life, liberty or property without due process of law if certain procedural safeguards were in place."
DP02_1,3,"The Fifth Amendment to the United States Constitution envisages the death penalty in its provision that no one shall be deprived of life, liberty or property without due process of law, which means that one can be denied the right to life, liberty, or property if certain procedural safeguards are put in place."
DP02_1,4,"The Fifth Amendment to the United States Constitution states no one shall be deprived of life, liberty, or property without due process of law, which meant that citizens can be denied life, liberty, or property, but only if certain procedural safeguards are adhered to exactly.  It is imperative that the constitution be followed. The death penalty adheres to the strictures outlined in the constitution. Therefore the death penalty is acceptable."
DP02_1,5,The death penalty is stated to be true according to the United States Constitution if certain things are not followed.
DP02_1,6,The death penalty is a reasonable punishment because those who have murdered have violated the fifth amendment in taking someone else's life.
DP02_1,7,Those who violate the laws in a most sordid manner should recieve the death penalty as due process of the law.
DP02_1,8,"We need the death penalty, because without it people will be deprived of their Fifth Amendment rights."
DP02_1,9,"The Fifth Amendment says that no one shall be deprived of life, liberty, or property without due process of law. Since these things may be denied citizens if certain procedural safeguards were in place, the death penalty is okay."
DP02_1,10,"The death penalty is fine because, although the Fifth Amendment to the United States Constitution states no one shall be deprived of life, liberty or property without due process of law, citizens might be denied their life, liberty, or property if certain procedural safeguards were in place."
DP02_1,11,"We should accept the death penalty because The Fifth Amendment to the US Constitution states no one shall be deprived of life, liberty or property without due process of law."
DP02_2,1,The death penalty is not acceptable because execution as administered under the Federal Death Penalty Act denies defendants their due process rights guaranteed by the Fifth Amendment of the United States Constitution.
DP02_2,2,"The death penalty is inadmissible as the Fifth Amendment to the United States Constitution states no one shall be deprived of life, liberty or property without due process of law as execution under the Federal Death Penalty Act cuts off the opportunity for exoneration."
DP02_2,3,"Since the fifth amendment states no one shall be deprived of life, liberty or property without due process of law, and the the Federal Death Penalty Act cuts off the opportunity for exoneration, the death penalty violates the fifth amendment."
DP02_2,4,"The death penalty does not follow the Fifth Amendment to the United States Constitution, {the constitution is the irrefutable law of the land} which states no one shall be deprived of life, liberty or property without due process of law, in so far as execution under the Federal Death Penalty Act cuts off the opportunity for exoneration. Therefore the death penalty is not tolerable."
DP02_2,5,"The death penalty should be prohibited because it violates our constitutional right to life, liberty, and pursuit of happiness."
DP02_2,6,"The Fifth Amendment of the United States Constitution states that no one shall be deprived of life, liberty, or property without due process of the law, so the death penalty is unacceptable."
DP02_2,7,The death penalty violates the fifth amendment and should not be considered.
DP02_2,8,"The death penalty can't be used, because it deprives  criminals of the Fifth amendment, by cutting off the opportunity for exoneration."
DP02_2,9,The Federal Death Penalty Act is unconstitutional as it violates one's right to be deprived of life without due process of law by eradicating the opportunity for exoneration.
DP02_2,10,"We should not have the death penalty, because it execution under the Federal Death Penalty Act cuts off the opportunity for exoneration, thus violating the Fifth Amendment which says that no one shall be deprived of life, liberty, or property without due process of law."
DP02_2,11,"We should outlaw the death penalty because the Fifth Amendment to the United States Constitution states no one shall be deprived of life, liberty or property without due process of law."
DP02_2,12,"Since the Fifth Amendment of the United States Constitution protects citizens from being depived of life, liberty or property without due process the death penalty, naturally, inflicts upon that right and ass a result is not right."
DP02_2,13,"We should not accept the death penalty because no one shall be deprived of life, liberty or property without due process of law."
DP02_3,1,The death penalty is unconstitutional.
DP02_3,2,"We should obey the Constitution which in the Eighth Amendment states excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted, therefore, the death penalty is not permissible."
DP02_3,3,"According to the 8th amendment in the US Constitution, the death penalty is a cruel and unusual punishment."
DP02_3,4,The death penalty should be abolished because it violates the Eighth Amendment's prohibition on cruel and unusual punishment.
DP02_3,5,The death penalty is against the law because the Eighth Amendement to the United States Constitutions which is binding upon all citizens and agencies proscribes excessive bail and fines and the imposition of cruel and unusual punishments.
DP02_3,6,"The death penalty can be construed as cruel and unusual because it does not adhere to the strictures of the Eight Amendment to the United States  Constitution,  {which is the accepted law of the land} which states that excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.  Therefore, the death penalty is not to be deemed as tolerable."
DP02_3,7,The death penalty is direct violation of the US Constitution and thus should be banned.
DP02_3,8,"We shouldn't have the death penalty because it is cruel and unusual punishment, which is not allowed in the Eighth Amendment."
DP02_3,9,The death penalty does not follow the eighth amendment and should not be used in sentencing.
DP02_3,10,The Eighth Amendment says that cruel and unusual punishments are not allowed so the death penalty is not allowed.
DP02_3,11,"The death penalty does not follow the Eighth Amendment to the United States Constitution where excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted"
DP02_3,12,"We should not use the death penalty, because it is cruel and unusual and the Eighth Amendment says that cruel and unusual punishments shall not be inflicted."
DP02_3,13,"We should not have the death penalty because it is cruel and unusual and the Eighth Amendment to the United States Constitution states excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted."
DP02_3,14,As the Eighth Amendement protects citizens against cruel and unusual punishment the death penalty falls under this catogory the death penalty is not constitutional.
DP02_3,15,We should not accept the death penalty because it violates the Eigth Amendment to the US Constitution.
DP02_4,1,"Because states have adopted more human execution methods, the death penalty does not violate the Eighth Amendment's prohibition of cruel and unusual punishment."
DP02_4,2,"The death penalty is admissible as the Eighth Amendment to the US Constitution states  excessive ball may be inessential , nor excessive fines imposed, nor cruel and unusual punishments inflicted as many states have adopted a way of execution believed t be the most humane available."
DP02_4,3,"The death penalty does not violate the Eighth Amendment to the United States Constitution, which must be respected as the law of the land, and which further states that excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted.  In short the death penalty is a unobjectionable and good choice."
DP02_4,4,The death penalty should be allowed because it's actually more humane than other punishments.
DP02_4,5,We should use the death penalty because it is not a cruel or unusual punishment.
DP02_4,6,The death penalty does not violate the Eighth Amendment to the United States Constitution because many states have adopted a method of execution believed to be the most humane available
DP02_4,7,"the death penalty should be allowed, because the Eighth Amendment is upheld due to the adoption of human methods of execution."
DP02_4,8,"The Eighth Amendment states excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted. The death penalty should be used since it does not violate the Eighth Amendment, because many states have adopted humane methods of execution."
DP02_4,9,"The death penalty should be allowed because it does not violate the 8th amendment to the  U.S. Constitution. Cruel and unusual punishments are forbidden, but many states have adopted a method of execution believed to be the most humane available."
DP02_4,10,The death penalty is acceptable because it is not in violation of the Eighth Amendment to the constitution.
DP02_4,11,"While the Eighth Amendment of the Constitution of the United States says that cruel and unusual punishments cannot be inflicted and obeying the constitution is a part of the foundation of our country, the death penalty does not violate this as most of the states have adopted humane methods of execution as such the death penalty is needed."
DP02_4,12,The death penalty does not violate the eighth amendment because many states have adopted a method of execution believed to be the most humane available.
DP02_4,13,The death penalty should be accepted because it does not violate The Eighth Amendment of to the United States Constitution and many states have adopted a methold of execution believed to be the most human available.
DP02_4,14,"The death penalty is acceptable because it does not violate the Constitution's statement that excessive bail shall not be required, nor excessive fines imposed, nor cruel and unusual punishments inflicted."
DP03_1,1,DNA testing in criminal cases is not always needed as this testing in criminal cases costs a lot of money.
DP03_1,2,Testing DNA in criminals cases puts financial strain on departments and we should discontinue that.
DP03_1,3,DNA testing in criminal cases is not always essential because it costs a lot of money.
DP03_1,4,"DNA testing in criminal cases isn't always required, as it costs a lot of money which is unwanted."
DP03_1,5,"DNA testing in criminal cases has the negative of proving very costly.  Therefore, DNA testing in criminal cases is not always a necessity."
DP03_1,6,"Thankfully, to save taxpayer money, DNA testing isn't always needed in criminal cases."
DP03_1,7,DNA testing isn't always important for a criminal case because it costs more than it helps.
DP03_1,8,We don't need DNA testing for criminal cases because they cost too much money.
DP03_1,9,DNA testing should not be used when not necessary to save money.
DP03_1,10,"We don't need to test DNA in criminal cases, because they cost a lot of money."
DP03_1,11,We shouldn't always use DNA testing in criminal cases since it costs a lot of money.
DP03_1,12,We don't always need DNA testing in criminal cases because it costs a lot of money
DP03_1,13,"While DNA evidence provides critical evidence in cases, it costs a great amount of money and, in some cases, is not needed anyway."
DP03_1,14,DNA testing in criminal cases is not wanted because it has a high cost
DP03_1,15,We shouldn't require DNA testing in criminal cases because it costs a lot of money.
DP03_2,1,DNA testing in criminal cases is essential because it is a means for accurate judgment.
DP03_2,2,DNA testing ensures accurate judgement in criminal cases.
DP03_2,3,DNA testing in criminal cases is obligatory as a measure for accurate judgement which is advisable.
DP03_2,4,"Criminal cases must include accurate judgements, which can be provided by DNA testing, which ensures such judgement. Therefore, DNA testing must be the standard in criminal cases."
DP03_2,5,DNA testing should be used in criminal cases because it helps form accurate judgements.
DP03_2,6,DNA testing in a criminal case is necessary for an accurate judgment.
DP03_2,7,"We should permit DNA testing in criminal cases, because they provide accurate judgement."
DP03_2,8,We should have DNA testing in criminal cases because it provides accurate judgement.
DP03_2,9,"DNA testing has been proved in criminal cases to be a means for accurate judgement, as such DNA testing is important to fair trials."
DP03_2,10,DNA testing in criminal cases is helpful because it produces accurate judgement
DP03_3,1,"DNA is a reliable identifier and leads to accurate judgment.  Therefore, DNA testing should be used in criminal cases."
DP03_3,2,DNA testing in criminal cases is necessary for accurate judgement.
DP03_3,3,DNA testing in criminal cases is required as a measure for accurate judgement which is prudent as DNA is a reliable identifier.
DP03_3,4,DNA testing is useful in criminal cases since it aids in accurate judgment owing to the fact that it is a reliable identifier
DP03_3,5,"In criminal cases, accurate judgements are imperative. Fortunately, DNA is a reliable identifier that ensures such accurate judgements. Therefore DNA testing in criminal cases is necessary."
DP03_3,6,"DNA is generally used to solve crimes in one of two ways. In cases where a suspect is identified, a sample of that person's DNA can be compared to evidence from the crime scene. The results of this comparison may help establish whether the suspect committed the crime."
DP03_3,7,We should use DNA testing in criminal cases because it has been shown to be a reliable identifier of identities.
DP03_3,8,"In the annals of court, only the strictest judgment should be appraised . This takes the form of DNA"
DP03_3,9,DNA testing in criminal cases is necessary because DNA is an accurate and reliable identifier.
DP03_3,10,DNA testing in criminal cases means a more accurate judgment so we should use it in criminal cases.
DP03_3,11,DNA testing produces accurate judgement in criminal cases.
DP03_3,12,DNA testing in criminal cases is necessary for accurate judgment because DNA is a reliable identifier
DP03_3,13,"We need DNA testing in criminal cases, because it is a reliable identifier."
DP03_3,14,"We need to use DNA testing in criminal cases for accurate judgement, because DNA is a reliable identifier."
DP03_3,15,DNA testing should be used in criminal cases because it helps improve accuracy of judgement.
DP03_3,16,"DNA testing allows for accurate judgment in criminal cases because DNA is a reliable identifier, therefore DNA testing is a needed aspect in criminal cases."
DP03_3,17,We should use DNA testing in criminal cases because it is a reliable identifier s
DP03_3,18,"DNA is a reliable identifier, which makes DNA testing an extremely accurate and much-needed means of judgment for criminal cases."
DP03_4,1,DNA evidence is not always needed as sometimes there is other evidence available for accurate judgment.
DP03_4,2,"Because DNA evidence is not always available for every case, it is not essential to criminal cases."
DP03_4,3,Not all criminal cases can be confirmed using DNA testing.
DP03_4,4,Some may claim DNA testing in criminal cases is a means for accurate judgement which unprovoked as DNA evidence is usually not available in many cases.
DP03_4,5,"Since DNA evidence is not always available, it is not the only way to produce an accurate judgement."
DP03_4,6,"Pundits argue that DNA testing in criminal cases makes for accurate judgements, even though DNA evidence is not available in many cases.  Clearly, then DNA testing in criminal cases should not be deemed as always required."
DP03_4,7,DNA testing is not always needed to prove your case in a court preceeding.
DP03_4,8,"Though DNA testing is often an accurate judgement measure, DNA evidence can't be required as a proof because it's not always available."
DP03_4,9,We should not always DNA test in criminal cases because it is not always available.
DP03_4,10,DNA testing in criminal cases in not always necessary because it is not always available in all cases.
DP03_4,11,DNA evidence is not always available in criminal cases so DNA testing shouldn't always be used.
DP03_4,12,"With the lack of availability to DNA evidence in many cases, DNA evidence should not be necessary for accurate judgment."
DP03_4,13,"DNA testing isn't always needed, because in many cases it is not always available."
DP03_4,14,DNA testing in criminal cases is not always needed since it is not available in many cases.
DP03_4,15,We shouldn't always use DNA testing in criminal cases because it is not available in many cases.
DP03_4,16,"While DNA testing in criminal cases had led to sounder, better, and most importantly more accurate judgements it is not always availible in many criminal cases. Following this line of logic DNA testing is not always needed."
DP03_4,17,DNA evidence is not always available in criminal cases
DP03_4,18,Having DNA testing in criminal cases does not give true evidence  because it is not availaible in many cases.
DP03_4,19,We should not require DNA testing in criminal cases because DNA evidence is not available in many cases.
DP04_1,1,We need the death penalty to deter crime.
DP04_1,2,The death penalty is needed because it has the positive effect of deterring crime.
DP04_1,3,The death penalty should be maintained because it deters crime.
DP04_1,4,The death penalty is required as it deters crime which is sensible.
DP04_1,5,"The death penalty has the positive effect of deterring crime. Therefore, the death penalty is needed."
DP04_1,6,"Capital punishment benefits society because it may deter violent crime. If the losses society imposes on criminals are less than those the criminals imposed on their innocent victims, society would be favoring criminals, allowing them to get away with bearing fewer costs than their victims had to bear."
DP04_1,7,The death penalty should be instituted to assist in deterring crime.
DP04_1,8,The death penalty is a good thing because it deters crime effectively.
DP04_1,9,Death penalty deters crime.
DP04_1,10,We should use the death penalty because it deters crime.
DP04_1,11,"The death penalty deters crime, making the death penalty necessary."
DP04_1,12,The death penalty produces less crime.
DP04_1,13,"The death penalty is needed, because it deters crimes."
DP04_1,14,"We need the death penalty, because it deters crime."
DP04_1,15,We should keep the death penalty because it deters crime
DP04_1,16,Since the death penalty deters crime the death penalty is a needed part of our society.
DP04_1,17,We need the death penalty because it deters crime.
DP04_2,1,The death penalty is a good thing because it has the positive effect of deterring crime as people fear nothing more than death and nothing will deter a criminal more than the fear of death.
DP04_2,2,The death penalty stops criminals because people are afraid of being put to death.
DP04_2,3,The death penalty is needed because the fear of death deters criminals more effectively than anything else.
DP04_2,4,The death penalty is required as it hinders crime because people fear nothing more than death which is advantageous.
DP04_2,5,The death penalty is useful because the idea of death deters crime seeing as nothing can deter a criminal more than the fear of death
DP04_2,6,"Nothing deters criminals more than the fear of death, because people in general fear nothing more than death. This is why the death penalty has the beneficial effect of deterring crime. Therefore, the death penalty is a must."
DP04_2,7,The death penalty would be a reasonable means to deter crime is in fact people considered the consequences before their actions rather than acted impulsively.
DP04_2,8,The death penalty is a deterrant to crime and so we should continue allowing it.
DP04_2,9,The death penalty is necessary because its use deters crime.
DP04_2,10,"Because people fear nothing more than death, it will deter criminals from committing crime. Therefore, we should support the death penalty."
DP04_2,11,The death penalty should be used to deter a criminal by fear of death.
DP04_2,12,The death penalty is necessary to deter crime using the fear of death as deterrent
DP04_2,13,The death penalty is necessary because it deters crime based on people's fear of death more than anything else.
DP04_2,14,We need the death penalty because it deters crime because people fear nothing more than death and nothing will deter a criminal more than the fear of death
DP04_2,15,"Since people fear nothing more than death, nothing will stop criminals more. Hence, the death penalty is needed."
DP04_2,16,We should accept the death penalty because nothing will deter a criminal more than the fear of death.
DP04_3,1,"People fear the death penalty, so crime is reduced as no one wants to get sentenced to death."
DP04_3,2,The death penalty is needed because it deters crime.
DP04_3,3,The death penalty will make the world a better place by deterring crime.
DP04_3,4,The death penalty is obligatory as mode to deter crime which is advantageous.
DP04_3,5,The death penalty serves as a benefit to society in that it is a means to deter crime. Therefore the death penalty is a valid and needed option.
DP04_3,6,"Some of the most violent criminals can only be deterred from committing crimes by the threat of death, nobody wants violent crime which is why the death penalty is an essential institution."
DP04_3,7,We should continue using the death penalty because it deters crime.
DP04_3,8,We should use the death penalty because it deters crime.
DP04_3,9,We need the death penalty because it is a way to deter crime.
DP04_3,10,We should keep the death penalty because it deters crime.
DP04_3,11,The Death penalty is it effective way of determining crime
DP04_3,12,"We need the death penalty, because it will deter crime."
DP04_3,13,"We should have the death penalty, because it deters crime."
DP04_3,14,We need the death penalty to deter crime
DP04_3,15,Since the death penalty is a way to deter crime the death penalty is a needed resource.
DP04_4,1,The death penalty deters crime because recent credible investigations have found introducing the death penalty correlates with a murder rate.
DP04_4,2,"Recent reliable investigations indicate that the introduction of the death penalty correlates with a murder rate.  Therefore, the death penalty deters crime."
DP04_4,3,The need to introduce the death penalty should correlate with the observed murder rate according to recent well-researched investigations.   The conclusion is that the death penalty deters crime.
DP04_4,4,"The death penalty deters violent crime and makes society safer. Evidence from around the world has shown that the death penalty has no unique deterrent effect on crime.Far from making society safer, the death penalty has been shown to have a brutalizing effect on society."
DP04_4,5,Recent crime rates going down in conjunction with the death penalty as a possible consequence proves the death penalty deters crime.
DP04_4,6,We should use the death penalty because it decreases murders.
DP04_4,7,The death penalty deters crime by correlating with the murder rate.
DP04_4,8,The death penalty correlates with the murder rate so it deters crime.
DP04_4,9,"Recent investigations state that introducing the death penalty correlates with murder rates, this helps deter crime."
DP04_4,10,"The death penalty deters crime, because recent credible investigations claim that the death penalty correlates with murder rate."
DP04_4,11,The death penalty deters crime because it correlates with murder rate
DP04_4,12,"The death penalty isn't always an option when it comes to crime, it is mainly brought into effect when there is a high murder rate which then it shows to lower the murder rate."
DP04_4,13,We should support the death penalty because it deters crime.
